1.0546875;1.16875;1.3034375;1.355;1.2703125;1.053125;0.7359375;0.4690625;0.4628125;0.71875;1.0078125;1.140625;1.1609375;1.246875;1.3609375;1.421875;1.290625;1.00625;0.9375;1.0546875;1.5203125;1.51875;1.2921875;1.571875;1.1765625;0.9065625;1.08703125;4.4375;0.94046875;0.91125;1.2734375;1.68125;1.65;1.94453125;1.8703125;1.21953125;1.17875;1.150625;1.46875;1.78125;1.465625;0.665625
3.18984375;2.640625;1.65625;1.109375;1;1;1;1;1.01875;1.1125;1.2890625;1.421875;1.421875;1.3625;1.3828125;1.528125;1.4875;1.315625;0.975;0.775;0.921875;1.4015625;1.259375;1.109375;1.6328125;1.3434375;0.773125;0.965625;1.04765625;0.73703125;0.9721875;1.0921875;1.559375;1.884375;1.525;1.5765625;1.0734375;1.146875;1.349375;1.263125;1.584375;1.73125
1.90625;1.66875;1.184375;0.825;0.8296875;1.2078125;1.9078125;2.6578125;2.9453125;2.5984375;2.0234375;1.6609375;1.55;1.490625;1.428125;1.421875;1.5234375;1.68125;1.375;1.140625;1.10625;1.05;1.2890625;1.08125;1.35;1.1875;1.6125;0.9859375;1.0378125;0.83;0.884375;0.9703125;1.1890625;1.6765625;1.65;1.86875;2.675;1.265625;1.1125;1.23515625;1.820625;1.928125
1.70703125;2.359375;3.41015625;3.9984375;3.23203125;2.05625;1.8953125;2.553125;2.9296875;2.565625;1.8453125;1.341875;1.185625;1.14875;1.1496875;1.21125;1.3415625;1.46875;1.5625;1.684375;1.028125;1.009375;1.5375;1.8171875;1.4421875;1.6;1.371875;1.088125;1.0521875;4.5878125;1.13359375;1.08953125;1.1721875;1.1515625;1.2359375;1.6671875;1.7484375;1.2953125;1.3234375;1.2625;1.2375;1.46875
1.2265625;1.5;1.6484375;1.7625;1.8015625;1.640625;1.3453125;1.11875;1.0234375;0.9375;0.7890625;0.696875;0.790625;1.016875;1.1703125;1.1528125;1.1496875;1.2409375;4.6453125;4.753125;1.375;1.003125;0.94921875;1.57734375;1.7;1.396875;1.85;1.401875;0.73;1.028125;1.220625;0.921875;1.0090625;1.0875;1.309375;1.328125;1.49375;1.8015625;1.153125;1.14375;1.3975;1.0328125
0.671875;0.921875;1.171875;1.46875;1.625;1.46875;1.1875;1.03125;1;1;0.984375;0.90625;0.8;0.825;1.021875;1.2340625;1.2909375;1.1925;1.2746875;1.359375;4.675;1.48515625;0.76015625;1.05625;1.6640625;1.6109375;1.4203125;1.0578125;1.35;1.0609375;1.166875;1.0653125;1.1940625;1.1971875;1.096875;1.2203125;1.059375;1.5375;2.2421875;1.2421875;1.2375;1.2
1;1.0125;1.075;1.1875;1.25;1.1875;1.075;1.0125;1;1;1.0328125;1.1640625;1.328125;1.296875;1.1234375;1.1171875;1.2734375;1.3778125;1.350625;1.213125;1.5203125;1.628125;1.0625;0.8109375;1.07265625;1.86328125;1.34765625;1.47296875;1.8053125;1.501875;1.00859375;1.1659375;1.41515625;1.42625;1.2309375;0.94375;1.05;1.19765625;1.4359375;1.345;1.38015625;1.3625
0.9375;0.9921875;1.015625;1.110546875;1.336328125;1.571484375;1.595703125;1.416015625;1.235546875;1.086328125;0.921484375;0.921875;1.18125;1.4453125;1.4828125;1.2828125;1.106875;1.17;1.29375;1.363125;1.368125;1.37625;1.659375;1.109375;0.85;1.54375;1.809375;1.925;2.0296875;1.3059375;0.910625;1.159375;1.4215625;1.2859375;1.2628125;1.23125;1.075;0.9703125;1.25625;1.6125;1.20625;1.10625
1.13125;1.21875;1.21875;1.14140625;1.11484375;1.22734375;1.41796875;1.56640625;1.58828125;1.89921875;2.02734375;1.1953125;0.6;0.796875;1.1125;1.2875;1.28125;1.1453125;1.1153125;1.220625;1.260625;1.2746875;4.73875;1.628125;0.94375;1.365625;1.83046875;1.85;1.540625;1.20625;1.0609375;1.0875;1.289375;1.29875;1.53125;1.616875;1.2765625;1.0140625;1.00625;1.290625;1.4875;1.109375
1.4046875;1.634375;1.684375;1.49765625;1.23359375;1.0640625;1.0234375;1.1171875;1.3828125;1.7109375;1.8046875;1.5078125;1.040625;0.734375;0.7;0.9015625;1.0984375;1.1578125;1.1953125;1.13125;1.22375;1.1603125;1.3953125;1.325;1.171875;0.76640625;0.81875;1.609375;1.2828125;1.5875;2.39765625;1.96375;1.15125;1.1640625;1.583125;1.738125;1.5365625;1.0859375;1.0015625;0.99375;1.340625;1.276875
